train_language,test_language,setting,modality,accuracy,loss,audio_reliability_mean,face_reliability_mean,num_samples,checkpoint
English,English,P3,audio_face,0.9310344827586207,0.27414200120958787,0.9943289756774902,0.8504369258880615,232,C:\Users\beiba\Desktop\reliability-fusion-project\checkpoints\reliability_fusion_stageA_h512_fd02_lam02_English_best.pt
English,English,P4,audio_only,0.8405172413793104,0.5832480151077797,0.9943289756774902,0.0,232,C:\Users\beiba\Desktop\reliability-fusion-project\checkpoints\reliability_fusion_stageA_h512_fd02_lam02_English_best.pt
English,German,P5,audio_face,0.8508771929824561,0.471656395503652,0.9942463040351868,0.8509041666984558,342,C:\Users\beiba\Desktop\reliability-fusion-project\checkpoints\reliability_fusion_stageA_h512_fd02_lam02_English_best.pt
English,German,P6,audio_only,0.7309941520467836,0.9460882387663189,0.9942463040351868,0.0,342,C:\Users\beiba\Desktop\reliability-fusion-project\checkpoints\reliability_fusion_stageA_h512_fd02_lam02_English_best.pt
German,German,P3,audio_face,0.8742690058479532,0.37938364965933763,0.9870814085006714,0.8282425403594971,342,C:\Users\beiba\Desktop\reliability-fusion-project\checkpoints\reliability_fusion_stageA_h512_fd02_lam02_German_best.pt
German,German,P4,audio_only,0.7894736842105263,0.9241839657858972,0.9870814085006714,0.0,342,C:\Users\beiba\Desktop\reliability-fusion-project\checkpoints\reliability_fusion_stageA_h512_fd02_lam02_German_best.pt
German,English,P5,audio_face,0.9655172413793104,0.27130739853299896,0.9877601861953735,0.8272343277931213,232,C:\Users\beiba\Desktop\reliability-fusion-project\checkpoints\reliability_fusion_stageA_h512_fd02_lam02_German_best.pt
German,English,P6,audio_only,0.8793103448275862,0.8669630371291062,0.9877601861953735,0.0,232,C:\Users\beiba\Desktop\reliability-fusion-project\checkpoints\reliability_fusion_stageA_h512_fd02_lam02_German_best.pt
